Ind_ID,GENDER,Car_Owner,Propert_Owner,CHILDREN,Annual_income,Type_Income,EDUCATION,Marital_status,Housing_type,Birthday_count,Employed_days,Mobile_phone,Work_Phone,Phone,EMAIL_ID,Type_Occupation,Family_Members,label,Age_conv,Employed_years
5036590,M,Y,Y,0,292500.0,Working,Higher education,Married,House / apartment,-21055.0,-808,1,0,0,0,Drivers,2,1,57.68493150684932,-2.213698630136986
5036795,M,Y,Y,0,215100.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-19175.0,-1285,1,0,1,0,Laborers,2,1,52.534246575342465,-3.5205479452054793
5046324,F,N,Y,1,157500.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-15466.0,-2269,1,0,1,0,Low-skill Laborers,3,1,42.37260273972603,-6.2164383561643834
5046328,F,N,Y,1,157500.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-15466.0,-2269,1,0,1,0,Low-skill Laborers,3,1,42.37260273972603,-6.2164383561643834
5047662,F,N,Y,1,67500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-18880.0,-4114,1,0,0,0,Accountants,3,1,51.726027397260275,-11.271232876712329
5048300,M,Y,N,1,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-11091.0,-1161,1,0,0,0,Laborers,3,1,30.386301369863013,-3.180821917808219
5048301,M,Y,N,1,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-11091.0,-1161,1,0,0,0,Laborers,3,1,30.386301369863013,-3.180821917808219
5050603,M,N,N,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-18327.0,-7288,1,1,0,0,Laborers,2,1,50.21095890410959,-19.96712328767123
5050606,M,N,N,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-18327.0,-7288,1,1,0,0,Laborers,2,1,50.21095890410959,-19.96712328767123
5050671,M,N,N,0,171000.0,Commercial associate,Incomplete higher,Single / not married,House / apartment,-11610.0,-166,1,1,1,0,High skill tech staff,1,1,31.80821917808219,-0.4547945205479452
5051160,M,Y,N,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,-9594.0,-866,1,0,0,0,Laborers,3,1,26.284931506849315,-2.372602739726027
5051161,M,Y,N,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,-9594.0,-866,1,0,0,0,Laborers,3,1,26.284931506849315,-2.372602739726027
5052659,F,N,Y,0,103500.0,Working,Secondary / secondary special,Married,House / apartment,-10396.0,-564,1,0,0,1,IT staff,2,1,28.482191780821918,-1.5452054794520549
5052661,F,N,Y,0,103500.0,Working,Secondary / secondary special,Married,House / apartment,-10396.0,-564,1,0,0,1,IT staff,2,1,28.482191780821918,-1.5452054794520549
5052877,M,Y,Y,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,-17915.0,-3366,1,0,0,0,Drivers,2,1,49.082191780821915,-9.221917808219178
5052879,M,Y,Y,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,-17915.0,-3366,1,0,0,0,Drivers,2,1,49.082191780821915,-9.221917808219178
5052882,M,Y,Y,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,-17915.0,-3366,1,0,0,0,Drivers,2,1,49.082191780821915,-9.221917808219178
5053254,F,Y,Y,0,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-18667.0,-2150,1,1,0,0,Managers,2,1,51.14246575342466,-5.890410958904109
5054063,M,N,N,1,157500.0,Working,Secondary / secondary special,Married,House / apartment,-16424.0,-1458,1,0,0,0,Drivers,3,1,44.9972602739726,-3.9945205479452053
5054068,M,N,N,1,157500.0,Working,Secondary / secondary special,Married,House / apartment,-16424.0,-1458,1,0,0,0,Drivers,1,1,44.9972602739726,-3.9945205479452053
5058530,M,N,N,0,391500.0,Working,Secondary / secondary special,Single / not married,Municipal apartment,-9242.0,-508,1,0,0,0,Sales staff,1,1,25.32054794520548,-1.3917808219178083
5058531,M,N,N,0,391500.0,Working,Secondary / secondary special,Single / not married,Municipal apartment,-9242.0,-508,1,0,0,0,Sales staff,1,1,25.32054794520548,-1.3917808219178083
5058532,M,N,N,0,391500.0,Working,Secondary / secondary special,Single / not married,Municipal apartment,-16040.342070773264,-508,1,0,0,0,Sales staff,1,1,43.94614265965278,-1.3917808219178083
5061691,F,N,Y,1,67500.0,Commercial associate,Higher education,Married,House / apartment,-9122.0,-1567,1,0,0,1,Waiters/barmen staff,3,1,24.991780821917807,-4.293150684931507
5062136,M,N,N,1,180000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-12947.0,-137,1,0,0,0,Laborers,2,1,35.47123287671233,-0.37534246575342467
5062137,M,N,Y,1,166500.0,Working,Secondary / secondary special,Single / not married,House / apartment,-12947.0,-137,1,0,0,0,Laborers,2,1,35.47123287671233,-0.37534246575342467
5065348,F,Y,Y,0,202500.0,Working,Higher education,Married,House / apartment,-15160.0,-3974,1,0,0,0,High skill tech staff,2,1,41.534246575342465,-10.887671232876713
5065518,F,Y,N,1,202500.0,Working,Higher education,Married,Rented apartment,-9510.0,-2878,1,0,0,0,Laborers,3,1,26.054794520547944,-7.884931506849315
5068389,F,Y,Y,1,270000.0,Working,Higher education,Separated,House / apartment,-14052.0,-140,1,0,1,0,Sales staff,2,1,38.4986301369863,-0.3835616438356164
5068651,F,Y,Y,0,360000.0,State servant,Higher education,Separated,House / apartment,-19305.0,-1905,1,0,0,0,Core staff,1,1,52.89041095890411,-5.219178082191781
5069216,F,Y,Y,0,256500.0,Commercial associate,Higher education,Married,House / apartment,-11210.0,-1724,1,1,0,0,Accountants,2,1,30.71232876712329,-4.723287671232876
5069218,F,Y,Y,0,256500.0,Commercial associate,Higher education,Single / not married,House / apartment,-11210.0,-1724,1,1,0,0,Accountants,2,1,30.71232876712329,-4.723287671232876
5069307,M,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-15640.0,-1328,1,0,0,0,Core staff,2,1,42.84931506849315,-3.638356164383562
5078820,F,N,N,2,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-14476.0,-4987,1,0,0,0,High skill tech staff,4,1,39.66027397260274,-13.663013698630136
5079166,M,Y,N,0,202500.0,Working,Secondary / secondary special,Married,With parents,-13720.0,-1394,1,0,0,0,Laborers,2,1,37.58904109589041,-3.819178082191781
5079167,M,Y,N,0,202500.0,Working,Secondary / secondary special,Married,With parents,-13720.0,-1394,1,0,0,0,Laborers,2,1,37.58904109589041,-3.819178082191781
5079168,M,Y,N,0,202500.0,Working,Secondary / secondary special,Married,With parents,-13720.0,-1394,1,0,0,0,Laborers,2,1,37.58904109589041,-3.819178082191781
5085886,M,Y,Y,0,315000.0,Commercial associate,Higher education,Married,House / apartment,-18661.0,-1265,1,0,0,0,Managers,2,1,51.12602739726027,-3.4657534246575343
5089162,F,Y,N,0,225000.0,Working,Higher education,Married,House / apartment,-20264.0,-2531,1,1,1,0,Accountants,2,1,55.51780821917808,-6.934246575342466
5090166,F,N,Y,1,675000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-15452.0,-860,1,0,0,0,Security staff,2,1,42.33424657534247,-2.356164383561644
5090214,M,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-10712.0,-217,1,0,0,0,Laborers,2,1,29.34794520547945,-0.5945205479452055
5090216,M,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-10712.0,-217,1,0,0,0,Laborers,2,1,29.34794520547945,-0.5945205479452055
5092087,M,Y,Y,2,247500.0,Working,Secondary / secondary special,Married,House / apartment,-17320.0,-535,1,0,0,0,Laborers,4,1,47.45205479452055,-1.4657534246575343
5092479,M,N,N,1,85500.0,State servant,Secondary / secondary special,Married,Municipal apartment,-15014.0,-6866,1,0,0,0,Core staff,3,1,41.134246575342466,-18.81095890410959
5096527,F,N,N,0,135000.0,Working,Secondary / secondary special,Widow,Co-op apartment,-20012.0,-584,1,0,0,0,Core staff,1,1,54.827397260273976,-1.6
5096528,F,N,N,0,135000.0,Working,Secondary / secondary special,Widow,Co-op apartment,-20012.0,-584,1,0,0,0,Core staff,1,1,54.827397260273976,-1.6
5096743,F,N,Y,0,180000.0,Working,Lower secondary,Widow,House / apartment,-16803.0,-2227,1,1,1,0,Cleaning staff,1,1,46.035616438356165,-6.101369863013699
5097065,F,N,Y,0,121500.0,Working,Secondary / secondary special,Married,House / apartment,-18971.0,-8161,1,0,0,0,Managers,2,1,51.97534246575343,-22.35890410958904
5100430,M,Y,N,0,180000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-16310.0,-613,1,0,0,0,Laborers,1,1,44.68493150684932,-1.6794520547945206
5105056,M,Y,N,0,166500.0,Commercial associate,Higher education,Single / not married,Municipal apartment,-11528.0,-606,1,0,1,1,High skill tech staff,1,1,31.583561643835615,-1.6602739726027398
5106077,F,N,Y,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-19764.0,-6944,1,0,0,0,Medicine staff,2,1,54.14794520547945,-19.024657534246575
5113621,M,N,N,0,225000.0,Working,Secondary / secondary special,Widow,Municipal apartment,-19406.0,-346,1,0,0,0,Security staff,1,1,53.16712328767123,-0.947945205479452
5115604,F,N,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,-14523.0,-3420,1,0,0,0,Core staff,2,1,39.78904109589041,-9.36986301369863
5115606,F,N,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,-14523.0,-3420,1,0,0,0,Core staff,2,1,39.78904109589041,-9.36986301369863
5115608,F,N,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,-14523.0,-3420,1,0,0,0,Core staff,2,1,39.78904109589041,-9.36986301369863
5115610,F,N,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,-14523.0,-3420,1,0,0,0,Core staff,2,1,39.78904109589041,-9.36986301369863
5115611,F,N,Y,0,202500.0,Working,Secondary / secondary special,Single / not married,House / apartment,-14523.0,-3420,1,0,0,0,Core staff,2,1,39.78904109589041,-9.36986301369863
5116035,M,Y,Y,0,126000.0,Working,Higher education,Single / not married,House / apartment,-14522.0,-863,1,1,0,0,Managers,1,1,39.78630136986301,-2.3643835616438356
5116036,M,Y,Y,0,126000.0,Working,Higher education,Single / not married,House / apartment,-14522.0,-863,1,1,0,0,Managers,1,1,39.78630136986301,-2.3643835616438356
5116258,F,N,Y,4,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-17468.0,-7413,1,0,0,0,Core staff,6,1,47.85753424657534,-20.30958904109589
5116906,M,Y,Y,0,211500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-15047.0,-7553,1,0,0,0,Core staff,2,1,41.224657534246575,-20.693150684931506
5117313,F,N,Y,1,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-13022.0,-3931,1,1,1,0,Laborers,3,1,35.676712328767124,-10.76986301369863
5118541,F,N,Y,0,72000.0,Working,Secondary / secondary special,Married,House / apartment,-18132.0,-1039,1,0,1,0,Laborers,2,1,49.676712328767124,-2.8465753424657536
5125289,F,N,N,1,202500.0,Working,Secondary / secondary special,Separated,House / apartment,-13939.0,-134,1,0,0,0,Laborers,2,1,38.18904109589041,-0.36712328767123287
5125708,F,Y,Y,0,135000.0,Working,Lower secondary,Married,House / apartment,-16413.0,-622,1,0,1,0,High skill tech staff,2,1,44.967123287671235,-1.704109589041096
5125716,F,Y,Y,0,135000.0,Working,Lower secondary,Married,House / apartment,-16413.0,-622,1,0,1,0,High skill tech staff,2,1,44.967123287671235,-1.704109589041096
5125761,M,N,Y,0,270000.0,Commercial associate,Secondary / secondary special,Single / not married,Municipal apartment,-18020.0,-1595,1,0,0,0,Cooking staff,1,1,49.36986301369863,-4.36986301369863
5125763,M,Y,N,1,135000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-13030.0,-1626,1,0,1,0,Laborers,3,1,35.6986301369863,-4.454794520547945
5125934,F,N,Y,2,135000.0,Commercial associate,Lower secondary,Civil marriage,With parents,-9862.0,-1868,1,1,0,0,Sales staff,4,1,27.019178082191782,-5.117808219178082
5135344,M,N,Y,0,112500.0,Commercial associate,Higher education,Married,House / apartment,-20103.0,-555,1,0,0,0,Security staff,2,1,55.07671232876712,-1.5205479452054795
5135345,M,N,Y,0,112500.0,Commercial associate,Higher education,Married,House / apartment,-20103.0,-555,1,0,0,0,Security staff,2,1,55.07671232876712,-1.5205479452054795
5135346,M,N,Y,0,112500.0,Commercial associate,Higher education,Married,House / apartment,-20103.0,-555,1,0,0,0,Security staff,2,1,55.07671232876712,-1.5205479452054795
5135485,F,N,Y,0,135000.0,State servant,Higher education,Single / not married,Municipal apartment,-10660.0,-1935,1,0,0,0,Core staff,1,1,29.205479452054796,-5.301369863013699
5135487,F,N,Y,0,135000.0,State servant,Higher education,Single / not married,Municipal apartment,-10660.0,-1935,1,0,0,0,Core staff,1,1,29.205479452054796,-5.301369863013699
5135636,M,Y,Y,0,195750.0,Working,Secondary / secondary special,Married,House / apartment,-18836.0,-931,1,1,1,0,Laborers,2,1,51.605479452054794,-2.5506849315068494
5135990,F,N,Y,1,585000.0,Commercial associate,Higher education,Single / not married,House / apartment,-10430.0,-900,1,0,0,0,Managers,2,1,28.575342465753426,-2.4657534246575343
5135991,F,N,Y,1,585000.0,Commercial associate,Higher education,Single / not married,House / apartment,-10430.0,-900,1,0,0,0,Managers,2,1,28.575342465753426,-2.4657534246575343
5142183,M,Y,Y,2,166500.0,Commercial associate,Higher education,Married,House / apartment,-17841.0,-4305,1,1,1,0,Managers,4,1,48.87945205479452,-11.794520547945206
5142184,M,Y,Y,2,450000.0,Commercial associate,Higher education,Married,House / apartment,-17841.0,-4305,1,1,1,0,Managers,4,1,48.87945205479452,-11.794520547945206
5142185,M,Y,Y,2,450000.0,Commercial associate,Higher education,Married,House / apartment,-17841.0,-4305,1,1,1,0,Managers,4,1,48.87945205479452,-11.794520547945206
5142361,M,Y,Y,1,112500.0,Working,Secondary / secondary special,Married,House / apartment,-16204.0,-925,1,1,1,0,Drivers,3,1,44.394520547945206,-2.5342465753424657
5142362,M,Y,Y,1,112500.0,Working,Secondary / secondary special,Married,House / apartment,-16204.0,-925,1,1,1,0,Drivers,3,1,44.394520547945206,-2.5342465753424657
5142456,F,N,N,0,67500.0,Commercial associate,Higher education,Separated,House / apartment,-18952.0,-499,1,0,1,0,Core staff,1,1,51.92328767123288,-1.367123287671233
5142458,F,N,Y,0,67500.0,Commercial associate,Higher education,Separated,House / apartment,-18952.0,-499,1,0,1,0,Core staff,1,1,51.92328767123288,-1.367123287671233
5142459,F,N,Y,0,67500.0,Commercial associate,Higher education,Separated,House / apartment,-18952.0,-499,1,0,1,0,Core staff,1,1,51.92328767123288,-1.367123287671233
5143342,M,N,N,1,216000.0,Working,Secondary / secondary special,Married,Municipal apartment,-12946.0,-2418,1,0,0,1,Laborers,3,1,35.46849315068493,-6.624657534246575
5146005,M,Y,Y,0,225000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-10177.0,-189,1,0,0,1,Managers,1,1,27.882191780821916,-0.5178082191780822
5146079,F,N,Y,1,108000.0,Working,Secondary / secondary special,Married,House / apartment,-12723.0,-1132,1,1,1,0,Sales staff,3,1,34.85753424657534,-3.1013698630136988
5146167,F,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-20296.0,-1770,1,0,0,0,Security staff,2,1,55.605479452054794,-4.8493150684931505
5146444,F,N,Y,0,135000.0,Working,Secondary / secondary special,Widow,House / apartment,-14394.0,-919,1,0,1,0,Managers,1,1,39.43561643835616,-2.5178082191780824
5148932,M,Y,N,0,108000.0,Working,Secondary / secondary special,Married,Office apartment,-17209.0,-1081,1,0,0,0,Security staff,2,1,47.14794520547945,-2.9616438356164383
5148934,M,Y,N,0,108000.0,Working,Secondary / secondary special,Married,Office apartment,-17209.0,-1081,1,0,0,0,Security staff,2,1,47.14794520547945,-2.9616438356164383
5149188,M,Y,N,1,450000.0,Working,Higher education,Married,House / apartment,-9847.0,-502,1,0,1,1,Core staff,3,1,26.97808219178082,-1.3753424657534246
5149190,M,Y,N,1,450000.0,Working,Higher education,Married,House / apartment,-9847.0,-502,1,0,1,1,Core staff,3,1,26.97808219178082,-1.3753424657534246
5149192,F,Y,N,1,450000.0,Working,Higher education,Married,House / apartment,-9847.0,-502,1,0,1,1,Core staff,3,1,26.97808219178082,-1.3753424657534246
5149828,M,Y,Y,0,315000.0,Working,Secondary / secondary special,Married,House / apartment,-17348.0,-2420,1,0,0,0,Managers,2,1,47.52876712328767,-6.63013698630137
5149834,F,N,Y,0,157500.0,Commercial associate,Higher education,Married,House / apartment,-12387.0,-1325,1,0,1,1,Medicine staff,2,1,33.93698630136986,-3.6301369863013697
5149838,F,N,Y,0,157500.0,Pensioner,Higher education,Married,House / apartment,-12387.0,-1325,1,0,1,1,Medicine staff,2,1,33.93698630136986,-3.6301369863013697
5118538,F,N,Y,1,81000.0,Working,Secondary / secondary special,Married,Municipal apartment,-15749.0,-6367,1,1,1,0,Cleaning staff,3,0,43.14794520547945,-17.443835616438356
5069057,M,Y,N,0,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-17762.0,-2484,1,0,0,0,Laborers,2,0,48.66301369863014,-6.8054794520547945
5066689,F,N,Y,0,180000.0,Commercial associate,Higher education,Civil marriage,House / apartment,-12946.0,-341,1,0,1,1,Sales staff,2,0,35.46849315068493,-0.9342465753424658
5086062,F,N,Y,0,135000.0,State servant,Secondary / secondary special,Married,House / apartment,-20542.0,-9422,1,0,1,0,Core staff,2,0,56.27945205479452,-25.813698630136987
5113717,F,N,N,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,-16415.0,-3054,1,0,0,1,Private service staff,3,0,44.97260273972603,-8.367123287671232
5066765,F,N,Y,1,63000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-14550.0,-2987,1,0,0,0,Sales staff,3,0,39.863013698630134,-8.183561643835617
5105227,F,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-17365.0,-2128,1,0,0,0,Laborers,2,0,47.57534246575342,-5.83013698630137
5067187,F,N,Y,0,112500.0,Working,Higher education,Married,House / apartment,-11432.0,-820,1,1,0,0,Core staff,2,0,31.32054794520548,-2.2465753424657535
5033574,F,Y,Y,1,166500.0,Working,Secondary / secondary special,Married,House / apartment,-14222.0,-141,1,1,1,0,Cooking staff,3,0,38.964383561643835,-0.3863013698630137
5054058,F,Y,N,1,450000.0,Working,Higher education,Married,House / apartment,-15045.0,-4686,1,0,1,0,Managers,3,0,41.21917808219178,-12.838356164383562
5022326,M,Y,Y,0,256500.0,Commercial associate,Higher education,Married,House / apartment,-21503.0,-1674,1,0,0,1,Core staff,2,0,58.912328767123284,-4.586301369863014
5097169,F,N,N,0,90000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-10731.0,-885,1,0,0,0,Sales staff,1,0,29.4,-2.4246575342465753
5056077,M,Y,Y,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,-12154.0,-1547,1,0,0,0,Core staff,2,0,33.298630136986304,-4.238356164383561
5143016,M,N,N,0,180000.0,Commercial associate,Secondary / secondary special,Civil marriage,Rented apartment,-14542.0,-3179,1,0,0,0,Laborers,2,0,39.84109589041096,-8.70958904109589
5021445,F,N,Y,0,121500.0,Working,Secondary / secondary special,Married,With parents,-13315.0,-5204,1,1,1,0,Core staff,2,0,36.47945205479452,-14.257534246575343
5116163,F,N,Y,2,90000.0,Working,Secondary / secondary special,Married,House / apartment,-9899.0,-320,1,0,0,0,Security staff,4,0,27.12054794520548,-0.8767123287671232
5125399,M,Y,N,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,-10066.0,-834,1,0,0,0,Laborers,2,0,27.578082191780823,-2.2849315068493152
5096234,F,N,N,0,117000.0,Working,Secondary / secondary special,Married,House / apartment,-17087.0,-7310,1,1,1,0,Medicine staff,2,0,46.81369863013698,-20.027397260273972
5125158,M,N,Y,1,234000.0,Working,Secondary / secondary special,Married,House / apartment,-11970.0,-1748,1,0,0,0,Laborers,3,0,32.794520547945204,-4.789041095890411
5143231,F,Y,Y,1,1575000.0,Commercial associate,Higher education,Single / not married,House / apartment,-10142.0,-2479,1,0,0,0,Managers,2,0,27.786301369863015,-6.791780821917809
5062688,M,Y,Y,0,247500.0,State servant,Secondary / secondary special,Married,Municipal apartment,-20112.0,-875,1,1,0,1,High skill tech staff,2,0,55.1013698630137,-2.3972602739726026
5105685,F,N,Y,2,144000.0,Working,Secondary / secondary special,Married,House / apartment,-14132.0,-2805,1,1,1,0,Private service staff,4,0,38.71780821917808,-7.684931506849315
5115984,M,Y,Y,2,180000.0,Working,Higher education,Married,House / apartment,-13174.0,-2477,1,0,0,0,Managers,4,0,36.09315068493151,-6.786301369863014
5085769,F,N,Y,0,166500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-19310.0,-1477,1,0,0,0,Cleaning staff,2,0,52.9041095890411,-4.046575342465753
5065363,F,N,Y,1,216000.0,Working,Higher education,Single / not married,House / apartment,-10512.0,-1782,1,0,1,0,Core staff,2,0,28.8,-4.882191780821918
5140074,F,N,Y,0,90000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-15124.0,-431,1,0,0,0,Core staff,2,0,41.43561643835616,-1.180821917808219
5091963,M,Y,N,0,180000.0,Working,Secondary / secondary special,Married,Municipal apartment,-18809.0,-1416,1,1,0,0,Drivers,2,0,51.53150684931507,-3.8794520547945206
5029348,M,Y,Y,0,270000.0,Working,Higher education,Married,House / apartment,-10942.0,-412,1,0,0,0,Drivers,2,0,29.97808219178082,-1.1287671232876713
5096061,F,N,N,2,73350.0,Working,Secondary / secondary special,Married,House / apartment,-14321.0,-7068,1,0,0,0,Medicine staff,4,0,39.23561643835617,-19.364383561643837
5028917,F,Y,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,-17202.0,-1787,1,0,0,0,Sales staff,2,0,47.12876712328767,-4.895890410958904
5117778,F,Y,N,0,144000.0,Working,Secondary / secondary special,Widow,House / apartment,-14407.0,-1345,1,0,0,0,HR staff,1,0,39.47123287671233,-3.684931506849315
5095310,F,Y,Y,0,225000.0,Working,Higher education,Married,House / apartment,-12322.0,-3717,1,0,0,0,Core staff,2,0,33.75890410958904,-10.183561643835617
5050655,F,N,N,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,-14667.0,-1048,1,1,1,0,Accountants,2,0,40.18356164383562,-2.871232876712329
5033817,F,Y,N,1,292500.0,State servant,Higher education,Married,House / apartment,-16010.0,-2667,1,0,1,0,Core staff,3,0,43.863013698630134,-7.306849315068493
5052963,M,Y,Y,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-9984.0,-2606,1,0,0,0,Laborers,2,0,27.353424657534248,-7.13972602739726
5113159,M,Y,Y,0,157500.0,Commercial associate,Secondary / secondary special,Single / not married,Municipal apartment,-9862.0,-2135,1,1,0,0,Laborers,1,0,27.019178082191782,-5.8493150684931505
5143235,F,Y,Y,1,1575000.0,Commercial associate,Higher education,Single / not married,House / apartment,-10142.0,-2479,1,0,0,0,Managers,2,0,27.786301369863015,-6.791780821917809
5132800,F,N,Y,0,157500.0,Working,Secondary / secondary special,Separated,House / apartment,-18540.0,-1534,1,0,0,0,Sales staff,1,0,50.794520547945204,-4.2027397260273975
5010707,M,Y,N,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,-15862.0,-5061,1,0,1,0,Drivers,2,0,43.45753424657534,-13.865753424657534
5028984,F,N,Y,0,193500.0,Working,Secondary / secondary special,Separated,House / apartment,-19063.0,-2213,1,1,1,1,Laborers,1,0,52.227397260273975,-6.063013698630137
5028615,F,Y,Y,0,225000.0,Commercial associate,Higher education,Single / not married,With parents,-10681.0,-2152,1,0,1,0,Sales staff,1,0,29.263013698630136,-5.895890410958904
5126034,F,Y,Y,0,108000.0,Working,Secondary / secondary special,Separated,House / apartment,-17171.0,-925,1,0,0,1,Cleaning staff,1,0,47.04383561643836,-2.5342465753424657
